lat	DMS	MeSH	MeSH_DMS	Acetonitrile	Acetaldehyde	Acetone	Chlorophyll	CO	Isoprene
58.3841	12.6597	NA		1.3625	12.8723	15.2271	0.269159267	15.62909772	3.7042
58.3895	11.1407	NA		1.2833	10.0303	11.6228	0.274741956	15.30152816	3.1779
58.3948	10.69	NA		0.879	12.7862	14.2534	0.244073878	15.4787899	3.6371
58.4001	9.2102	NA		1.0092	12.0039	12.64	0.226752731	16.87336296	3.3071
58.4055	8.0179	NA		1.0595	11.6208	11.6312	0.225178411	17.42248273	3.2487
58.4109	6.8237	NA		1.7824	11.8933	12.18	0.263889131	15.17893169	3.4072
58.4163	5.9046	NA		1.1775	11.2253	9.1294	0.225032436	13.93374606	3.3622
58.4217	5.7068	NA		1.0572	10.6346	9.9143	0.213899986	14.95177079	2.8042
58.4269	5.5632	NA		1.244	12.737	12.2995	0.222365528	14.66281617	3.3067
58.4320	5.1805	NA		1.2968	11.5095	10.1235	0.222451544	15.05912965	3.1401
58.4373	4.8552	NA		1.0889	9.796	9.0043	0.210914425	15.70101048	3.0968
58.4426	5.2353	NA		1.0629	10.7863	10.5847	0.184917771	18.85159104	3.2601
58.4481	5.6779	NA		1.2978	12.8588	10.7776	0.192799302	18.63267607	3.112
58.4536	5.2903	NA		1.0052	10.2406	9.5568	0.202755554	16.22409175	2.7335
58.4589	5.8647	NA		1.5096	12.3023	11.6669	0.22461008	16.68728793	3.031
58.4642	6.3837	NA		1.5083	10.6087	11.5687	0.225065865	16.14738845	3.3481
58.4696	6.7658	NA		1.3116	10.9419	11.3872	0.219372758	15.67941335	3.0583
58.4751	6.1968	NA		1.2447	9.4535	10.1858	0.207107866	17.17934857	2.596
58.4806	7.4806	NA		1.0829	13.3711	13.1019	0.191778625	18.05925634	3.3418
58.4861	7.298	NA		1.4439	12.6335	14.8991	0.181326217	17.54267426	2.8134
58.4915	6.9246	NA		1.1442	12.093	14.6904	0.168317588	19.53110802	2.6514
58.4970	7.3508	NA		1.2648	11.8393	14.3769	0.185872642	22.48632308	2.6704
58.5023	7.6065	NA		1.2736	12.8101	14.9482	0.190305131	19.32730239	3.0015
58.5077	7.2513	NA		1.1846	10.9937	13.0499	0.187808981	19.52609856	2.8595
58.5132	6.6696	NA		1.0226	10.2023	12.718	0.188848938	19.54779964	2.825
58.5189	7.5855	NA		1.4815	13.4757	14.809	0.215539001	17.30614569	3.5026
58.5245	7.0011	NA		1.1773	11.6978	14.9681	0.242476962	15.51621102	2.9112
58.5300	7.3889	NA		1.2065	10.704	13.58	0.233507931	14.27500441	2.7958
58.5355	8.2345	NA		1.4816	12.6925	14.7004	0.203489097	12.93162843	3.3489
58.5409	6.9989	NA		1.3209	10.232	13.2954	0.198363934	15.52645705	2.752
58.5463	7.409	NA		1.2252	11.0336	13.6298	0.220619397	16.18437191	3.0397
58.5517	6.827	NA		1.1548	10.6804	12.1194	0.212366483	15.76865933	2.8572
58.5573	6.9997	NA		1.2552	11.1771	14.4275	0.227558386	13.89018117	2.9418
58.5628	5.9155	NA		1.0697	9.478	11.1299	0.287129515	11.66078233	3.0037
58.5682	7.9189	NA		1.6177	12.5204	16.098	0.278456752	12.67800347	3.1323
58.5734	7.8267	NA		1.0281	10.4223	12.9381	0.251398808	15.60522568	3.1895
58.5790	8.5451	NA		1.1969	10.8637	13.1567	0.266698163	15.22719495	2.8976
58.5845	10.2439	NA		1.25	10.7535	11.471	0.252405962	14.34064778	3.5126
58.5899	11.2134	NA		1.1642	11.3051	14.6922	0.218903013	13.481295	3.4795
58.5953	12.2483	NA		1.4408	12.292	15.1964	0.188019221	13.32860898	3.2501
58.6008	12.0212	NA		1.2563	11.7291	14.2023	0.171143912	13.28911987	3.1037
58.6061	13.1171	NA		1.331	12.4397	16.2586	0.161244724	13.74357257	2.7585
58.6116	11.6667	NA		1.0522	10.5644	15.1072	0.154381558	17.36156207	2.8977
58.6171	12.6747	NA		1.3454	10.4571	16.6323	0.154488045	17.32018938	2.8484
58.6226	11.7969	NA		1.016	10.9879	12.9311	0.182801752	17.4975932	2.6696
58.6280	13.1202	NA		1.3557	10.1303	14.6593	0.18440624	14.86720061	2.5838
58.6333	13.0885	NA		1.1404	12.4537	16.0584	0.165077568	12.21330612	3.075
58.6385	12.8859	NA		1.1384	11.0403	15.186	0.144596902	12.89453147	2.9275
58.6437	13.7068	NA		1.3723	11.0245	15.939	0.143806088	13.08720306	3.311
58.6491	12.3883	NA		1.3244	8.9134	13.9909	0.145723828	14.6542205	2.8303
58.6544	12.3192	NA		1.1447	10.3959	13.852	0.176129276	13.23149612	2.662
58.6597	12.9674	NA		1.1131	10.9618	17.5387	0.177313197	11.6812888	3.2942
58.6650	12.3151	NA		1.2528	10.8998	15.439	0.159465784	10.80733071	2.7595
58.6705	11.997	NA		1.0994	9.8415	16.3925	0.135167225	10.21365408	2.3456
58.6759	11.722	NA		1.3586	10.6957	14.303	0.141863299	10.89087172	2.6077
58.6811	12.2979	NA		1.4715	12.4212	17.2263	0.127774038	12.32813135	2.9336
58.6863	11.2151	NA		1.337	10.1745	14.8919	0.114194843	12.76440289	2.341
58.6915	11.0862	NA		1.1708	9.8504	13.5977	0.129671771	12.20599291	3.1836
58.6969	10.855	NA		1.1479	9.1102	15.8305	0.154043804	12.42562756	2.346
58.7023	12.1801	NA		1.5389	11.2118	16.8314	0.149052158	11.86144468	2.595
58.7076	10.9376	NA		1.1218	9.8143	14.0829	0.140515054	10.32781445	3.0618
58.7128	11.3099	NA		1.2662	10.1051	11.517	0.117417492	11.09390587	2.2088
58.7181	11.9569	NA		1.2963	12.526	17.1464	0.154720413	13.74163566	3.0185
58.7234	11.1524	NA		1.4313	11.035	12.7074	0.189984408	13.25612641	2.5308
58.7287	11.7493	NA		1.172	9.863	15.582	0.219592784	11.92667163	2.8296
58.7340	10.0607	NA		1.1695	8.4272	12.7509	0.222837919	11.76881509	2.837
58.7393	12.2371	NA		1.2694	10.9701	16.443	0.227892214	11.69223963	2.6711
58.7447	13.1769	NA		1.3815	11.9678	17.7459	0.292779153	11.03524693	3.291
58.7500	12.818	NA		1.1783	12.9175	16.3367	0.393889289	10.40196474	2.6147
58.7552	12.2171	NA		1.2598	9.447	12.6105	0.346453789	9.676526645	3.0696
58.7604	13.5657	NA		1.0275	10.7792	13.8891	0.39922643	11.74508356	2.6625
58.7655	14.3965	NA		1.3338	9.9698	16.6597	0.389795061	12.63270356	2.6439
58.7707	15.3594	NA		1.213	12.4022	16.2938	0.384399469	14.97438417	2.8673
